# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-O" "--fraction" "-M" "--fraction" "-p" "-t" "region" "-g" "ID" "-a" "dfir_regions.gff" "-o" "counts/regions_dfir.txt" "star_map_dfir/Dfir-0h-A.bam" "star_map_dfir/Dfir-0h-B.bam" "star_map_dfir/Dfir-0h-C.bam" "star_map_dfir/Dfir-16h-A.bam" "star_map_dfir/Dfir-16h-B.bam" "star_map_dfir/Dfir-16h-C.bam" "star_map_dfir/Dfir-24h-A.bam" "star_map_dfir/Dfir-24h-B.bam" "star_map_dfir/Dfir-24h-C.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map_dfir/Dfir-0h-A.bam	star_map_dfir/Dfir-0h-B.bam	star_map_dfir/Dfir-0h-C.bam	star_map_dfir/Dfir-16h-A.bam	star_map_dfir/Dfir-16h-B.bam	star_map_dfir/Dfir-16h-C.bam	star_map_dfir/Dfir-24h-A.bam	star_map_dfir/Dfir-24h-B.bam	star_map_dfir/Dfir-24h-C.bam
contig_25_np1212:1640001..1642500	contig_25_np1212	1640001	1642500	+	2500	1288	679	1140.50	286	66.50	323.50	535	447.50	944
contig_25_np1212:1642501..1645000	contig_25_np1212	1642501	1645000	+	2500	6655	3846.50	6522	5866.50	9979.25	5233	5162.50	3098	4600.50
contig_25_np1212:1645001..1647500	contig_25_np1212	1645001	1647500	+	2500	5858	4034.50	6094.50	7085	11671.25	6737	6759	3731.50	5624.50
contig_25_np1212:1647501..1650000	contig_25_np1212	1647501	1650000	+	2500	120	432	332	589.50	309.50	681	653.50	382.50	782.50
contig_25_np1212:1650001..1652500	contig_25_np1212	1650001	1652500	+	2500	14	30.50	43.50	28	2	14	5	8	49
contig_25_np1212:1652501..1655000	contig_25_np1212	1652501	1655000	+	2500	40	130	96.50	45	24	18	27	11	163
contig_25_np1212:1655001..1657500	contig_25_np1212	1655001	1657500	+	2500	560	1149	566	847.50	574	850	947	407.50	1111.50
contig_25_np1212:1657501..1660000	contig_25_np1212	1657501	1660000	+	2500	572	513	426.50	498.50	218.50	413	470.50	296.50	609
contig_25_np1212:1660001..1662500	contig_25_np1212	1660001	1662500	+	2500	4277	437	3013	864.50	466.50	592	1071	909.75	765
contig_25_np1212:1662501..1665000	contig_25_np1212	1662501	1665000	+	2500	10607.50	6556.00	8935.50	8609.00	7017	5331	12197.50	5471.75	3473
contig_25_np1212:1665001..1667500	contig_25_np1212	1665001	1667500	+	2500	111.50	48.50	86.50	3645	1426.50	2093.50	2670	3637.50	1638.50
contig_25_np1212:1667501..1670000	contig_25_np1212	1667501	1670000	+	2500	107.23	8.00	86.33	465.75	262.25	330.17	309.17	389.17	576.83
contig_25_np1212:1670001..1672500	contig_25_np1212	1670001	1672500	+	2500	3942	2556.50	3162.79	2753	934.75	911	1440.50	1050.50	2019.50
contig_25_np1212:1672501..1675000	contig_25_np1212	1672501	1675000	+	2500	2467.00	926.25	2170.46	693	756.50	509.50	770.00	598.50	1083.00
contig_25_np1212:1675001..1677500	contig_25_np1212	1675001	1677500	+	2500	17298.00	22638.25	13337.50	1041	1488	2989.50	14729.00	12027.50	18261
contig_25_np1212:1677501..1680000	contig_25_np1212	1677501	1680000	+	2500	1278.50	2653.00	1039.50	1925	5425.50	1908	1390.00	1052	4053.50
contig_25_np1212:1680001..1682500	contig_25_np1212	1680001	1682500	+	2500	158.50	310	49	744	684.50	1473.50	895	792	3563
contig_25_np1212:1682501..1685000	contig_25_np1212	1682501	1685000	+	2500	474.50	644	389.50	1465.50	1673	2673.50	1513	1817	3385
contig_25_np1212:1685001..1687500	contig_25_np1212	1685001	1687500	+	2500	48.50	482	214	556.50	768.50	1692.50	617	908	1992.50
contig_25_np1212:1687501..1690000	contig_25_np1212	1687501	1690000	+	2500	74	270	111.59	288	356	681.25	267.29	402.59	1004.00
contig_25_np1212:1690001..1692500	contig_25_np1212	1690001	1692500	+	2500	880	1203	713	1863.50	3467	1400	1826	914	1953.50
contig_25_np1212:1692501..1695000	contig_25_np1212	1692501	1695000	+	2500	14	44	0	76.50	10	44	129	160.25	538
contig_25_np1212:1695001..1697500	contig_25_np1212	1695001	1697500	+	2500	2.50	0	0.50	8.50	6.50	15.50	17.50	53.25	62.50
contig_25_np1212:1697501..1700000	contig_25_np1212	1697501	1700000	+	2500	1157	892	988.50	1461	649	1592.50	3157.00	4310.00	4711.50
contig_25_np1212:1700001..1702500	contig_25_np1212	1700001	1702500	+	2500	88.50	15	59	649.50	134	398	756	389.50	187.50
contig_25_np1212:1702501..1705000	contig_25_np1212	1702501	1705000	+	2500	6	603	122	24.50	407	699.25	235.75	411.40	949.85
contig_25_np1212:1705001..1707500	contig_25_np1212	1705001	1707500	+	2500	106	368	82	66.50	217	508.92	258.25	416	632.45
contig_25_np1212:1707501..1710000	contig_25_np1212	1707501	1710000	+	2500	19.28	13.54	14	52.57	15.11	133.70	95.01	104.64	78.47
contig_25_np1212:1710001..1712500	contig_25_np1212	1710001	1712500	+	2500	0	3	0	17	6	53	48	54.50	61
contig_25_np1212:1712501..1715000	contig_25_np1212	1712501	1715000	+	2500	0	2	0	19	2	37	10	23.50	39
contig_25_np1212:1715001..1717500	contig_25_np1212	1715001	1717500	+	2500	4	0	0	2	2	34	24.50	22	10
contig_25_np1212:1717501..1720000	contig_25_np1212	1717501	1720000	+	2500	1476	1282	932	874	856	702	1536.25	1000	2256
contig_25_np1212:1720001..1722500	contig_25_np1212	1720001	1722500	+	2500	3533	3991	1812.50	4536	1513.50	1378	2844.75	1363.50	4417
contig_25_np1212:1722501..1725000	contig_25_np1212	1722501	1725000	+	2500	2304.50	5141	938.50	4335	429.50	571.50	1230	366	4381.50
contig_25_np1212:1725001..1727500	contig_25_np1212	1725001	1727500	+	2500	9458.50	2965	3266.50	6139	4381.50	3495	5690.50	1906.50	2614.50
contig_25_np1212:1727501..1730000	contig_25_np1212	1727501	1730000	+	2500	628.50	227	222.50	588.50	84	253	433	156	211
contig_25_np1212:1730001..1732500	contig_25_np1212	1730001	1732500	+	2500	3046	919	2703	6396	7361.50	6349.50	6629.50	4561	2857
contig_25_np1212:1732501..1735000	contig_25_np1212	1732501	1735000	+	2500	462.50	232.50	339.50	948	304	1029	736	835.50	668.50
contig_25_np1212:1735001..1737500	contig_25_np1212	1735001	1737500	+	2500	237	836.50	431	2375	1516	2811.50	2906	2221.50	3069.50
contig_25_np1212:1737501..1740000	contig_25_np1212	1737501	1740000	+	2500	46.32	211.85	50.65	65.28	35.97	77.68	33.27	31.10	309.90
contig_25_np1212:1740001..1742500	contig_25_np1212	1740001	1742500	+	2500	1223.50	677	955	2561.50	334.50	956.50	1702.50	1214.50	1247.50
contig_25_np1212:1742501..1745000	contig_25_np1212	1742501	1745000	+	2500	1362.50	832.50	1484.50	2780.50	667.50	841.50	1334.50	1023.50	1419
contig_25_np1212:1745001..1747500	contig_25_np1212	1745001	1747500	+	2500	12	17.50	14	40	10	51.50	24	29	63
contig_25_np1212:1747501..1750000	contig_25_np1212	1747501	1750000	+	2500	100	1089.50	193	511	1304	406	255.50	145	2317.50
contig_25_np1212:1750001..1752500	contig_25_np1212	1750001	1752500	+	2500	13	467.50	98.50	119	408	162.50	115	57	1049
contig_25_np1212:1752501..1755000	contig_25_np1212	1752501	1755000	+	2500	200.50	958.33	352.00	1174.00	1033	1486.50	1226.50	968.00	3251.00
contig_25_np1212:1755001..1757500	contig_25_np1212	1755001	1757500	+	2500	2635.12	1800.00	2045.00	1167	818.33	903	943.50	725.50	2011.12
contig_25_np1212:1757501..1760000	contig_25_np1212	1757501	1760000	+	2500	3692	1982.50	2085.33	1505	838.67	885.50	1221.50	1112.50	1858
contig_25_np1212:1760001..1762500	contig_25_np1212	1760001	1762500	+	2500	356.38	485.50	328.17	1184	486	908	821	865	930.38
contig_25_np1212:1762501..1765000	contig_25_np1212	1762501	1765000	+	2500	102.50	926.50	226.50	182	170.50	200	80	129	568.50
contig_25_np1212:1765001..1767500	contig_25_np1212	1765001	1767500	+	2500	85	1372	190.50	269	176.50	253	184	218.50	865
contig_25_np1212:1767501..1770000	contig_25_np1212	1767501	1770000	+	2500	599.50	5284	868	1143	582.50	1110	1282.50	911	3815
contig_25_np1212:1770001..1772500	contig_25_np1212	1770001	1772500	+	2500	2722	2882.50	2653	1460	625	863.50	1075.50	780.50	2262.50
contig_25_np1212:1772501..1775000	contig_25_np1212	1772501	1775000	+	2500	525	315.50	515	668.50	637	653.50	823.50	604.50	826.50
contig_25_np1212:1775001..1777500	contig_25_np1212	1775001	1777500	+	2500	106	202.50	102	643.50	446.75	489	769.50	380.50	450.50
contig_25_np1212:1777501..1780000	contig_25_np1212	1777501	1780000	+	2500	3183	139692.50	38972	2442.50	69118.50	26304	9989	27819.50	162840.75
contig_25_np1212:1780001..1782500	contig_25_np1212	1780001	1782500	+	2500	1481	78591.50	21423.50	1033.50	40275.08	14829.00	5214	16263.00	93386.75
contig_25_np1212:1782501..1785000	contig_25_np1212	1782501	1785000	+	2500	1035	707	1491.50	1686	533.50	463.50	1391.50	1115.75	863.50
contig_25_np1212:1785001..1787500	contig_25_np1212	1785001	1787500	+	2500	12184	2915	5569	2483	2463.17	1457.50	4415.50	2582.75	4024
contig_25_np1212:1787501..1790000	contig_25_np1212	1787501	1790000	+	2500	62	40	77.50	684	472.00	1542	853	751.50	571.50
contig_25_np1212:1790001..1792500	contig_25_np1212	1790001	1792500	+	2500	1960	2499.50	1129	3805.50	4482.50	4419	4811	2407.50	4747.50
contig_25_np1212:1792501..1795000	contig_25_np1212	1792501	1795000	+	2500	545	698.50	458.67	727.83	398.50	827.67	853	387	1140.35
contig_25_np1212:1795001..1797500	contig_25_np1212	1795001	1797500	+	2500	1129	1168	1496.83	3069.17	808.50	1650.83	2753	1398.50	2554.15
contig_25_np1212:1797501..1800000	contig_25_np1212	1797501	1800000	+	2500	1030.50	1717.50	1021	3935	786.50	2068.50	3272.50	1979	4383.50
contig_25_np1212:1800001..1802500	contig_25_np1212	1800001	1802500	+	2500	73.50	1917.50	208	1331.50	1571	2997.50	2345	2044	5881.50
contig_25_np1212:1802501..1805000	contig_25_np1212	1802501	1805000	+	2500	26	3246	235.50	755	5448.75	6523.25	4069	3556	11032.15
contig_25_np1212:1805001..1807500	contig_25_np1212	1805001	1807500	+	2500	117	892	145	287.50	1332.75	1873.89	1094	948.75	3042.09
contig_25_np1212:1807501..1810000	contig_25_np1212	1807501	1810000	+	2500	69.50	217.50	148	201.25	24	186.80	120.00	79.25	853.22
contig_25_np1212:1810001..1812500	contig_25_np1212	1810001	1812500	+	2500	770.28	1022.24	508.74	1706.00	636.15	746.31	963.78	473.71	1238.92
contig_25_np1212:1812501..1815000	contig_25_np1212	1812501	1815000	+	2500	205.78	465.74	216.74	584.50	341.65	424.75	457.62	153.71	588.42
contig_25_np1212:1815001..1817500	contig_25_np1212	1815001	1817500	+	2500	46	16.50	17	3404.50	99	559	924.50	1576	107.50
contig_25_np1212:1817501..1820000	contig_25_np1212	1817501	1820000	+	2500	33	186	20.25	195.50	1271	193.50	39	42	568
contig_25_np1212:1820001..1822500	contig_25_np1212	1820001	1822500	+	2500	64	110	60.50	94.50	723	88	40	25	285.75
contig_25_np1212:1822501..1825000	contig_25_np1212	1822501	1825000	+	2500	10610	95919.25	299420.00	1051.50	1774.50	3646.50	4729	2520	77007.75
contig_25_np1212:1825001..1827500	contig_25_np1212	1825001	1827500	+	2500	2480	1290.75	1261.00	6696.50	123.50	1342	1463.50	3243.50	1250
contig_25_np1212:1827501..1830000	contig_25_np1212	1827501	1830000	+	2500	1509.50	987.25	1012.75	12103.50	13602.50	9878.00	11604.50	4882	5589
contig_25_np1212:1830001..1832500	contig_25_np1212	1830001	1832500	+	2500	12419	8839.75	18318.50	3347.00	3750.50	1515.50	3611.00	1736	9591.50
contig_25_np1212:1832501..1835000	contig_25_np1212	1832501	1835000	+	2500	172	397	270.00	459	543.50	468	559	380.50	768
contig_25_np1212:1835001..1837500	contig_25_np1212	1835001	1837500	+	2500	131	130	253	1495	325	586.50	1103	430	578
contig_25_np1212:1837501..1840000	contig_25_np1212	1837501	1840000	+	2500	3342.50	2064	1732.50	1680.00	2190	1091.50	714.50	417.50	2244.50
contig_25_np1212:1840001..1842500	contig_25_np1212	1840001	1842500	+	2500	1721.00	6354.83	2904.00	1287	5405.50	2884.44	1157.00	886.97	9204.04
contig_25_np1212:1842501..1845000	contig_25_np1212	1842501	1845000	+	2500	148	1326	622	121	1241	664	165	205	2304
contig_25_np1212:1845001..1847500	contig_25_np1212	1845001	1847500	+	2500	724.50	654.50	582.50	1647.00	3945.00	1294.50	1213.50	1073	2167
contig_25_np1212:1847501..1850000	contig_25_np1212	1847501	1850000	+	2500	41.50	303.50	229	528	848.33	506.50	331.50	418	1011.50
contig_25_np1212:1850001..1852500	contig_25_np1212	1850001	1852500	+	2500	12	15.50	11	20	2.17	11	4	3	12.50
contig_25_np1212:1852501..1855000	contig_25_np1212	1852501	1855000	+	2500	3695.50	1151	2005.50	7283.75	3488	2531.50	2811.50	1835.50	5265.50
contig_25_np1212:1855001..1857500	contig_25_np1212	1855001	1857500	+	2500	1296.17	593.54	703.20	2472.62	1230.66	1061.59	1037.71	882.11	1851.19
contig_25_np1212:1857501..1860000	contig_25_np1212	1857501	1860000	+	2500	225	247	212.50	352.75	169.50	262.50	208.50	137.50	399.50
contig_25_np1212:1860001..1862500	contig_25_np1212	1860001	1862500	+	2500	130.50	55.50	206	644.50	149.50	222.50	337	248	399
contig_25_np1212:1862501..1865000	contig_25_np1212	1862501	1865000	+	2500	168.50	28	169	588	433	416.50	707.50	323	457.00
contig_25_np1212:1865001..1867500	contig_25_np1212	1865001	1867500	+	2500	590.50	4018	1095.50	2530.50	3771	2232	1911.50	1307.50	5476.00
contig_25_np1212:1867501..1870000	contig_25_np1212	1867501	1870000	+	2500	287.50	559	255.50	705	754.50	655	606	348.50	977.50
contig_25_np1212:1870001..1872500	contig_25_np1212	1870001	1872500	+	2500	1073.50	2727.50	1025.50	2615	3035	1911	2409.50	1478	5125.50
contig_25_np1212:1872501..1875000	contig_25_np1212	1872501	1875000	+	2500	746	2071.50	781.50	2386.50	2002	1452	1868	1005	4433.50
contig_25_np1212:1875001..1877500	contig_25_np1212	1875001	1877500	+	2500	28.07	337.22	253.59	217.54	2013.34	2268.93	811.02	446.35	1853.05
contig_25_np1212:1877501..1880000	contig_25_np1212	1877501	1880000	+	2500	105	262.50	328.50	343.50	740.50	883	457	287	968.50
contig_25_np1212:1880001..1882500	contig_25_np1212	1880001	1882500	+	2500	2187	2536.50	1903.50	1835.50	460	659.50	1319.50	1139	2143.50
contig_25_np1212:1882501..1885000	contig_25_np1212	1882501	1885000	+	2500	6093	3551.50	3273	5547	4567	3888	6130.50	4445.50	4016.50
contig_25_np1212:1885001..1887500	contig_25_np1212	1885001	1887500	+	2500	18859.50	8032	9468.50	8753	12096	6923	9149	5453.50	9335.50
contig_25_np1212:1887501..1890000	contig_25_np1212	1887501	1890000	+	2500	192.50	759	325.25	289	631.50	467	336	192	971
contig_25_np1212:1890001..1892500	contig_25_np1212	1890001	1892500	+	2500	15.44	396.74	230.85	80.39	194.22	844.31	397.95	434.60	3453.41
contig_25_np1212:1892501..1895000	contig_25_np1212	1892501	1895000	+	2500	386	1104.50	738	418.50	405.50	1177.50	1010.75	970	4694
contig_25_np1212:1895001..1897500	contig_25_np1212	1895001	1897500	+	2500	67.25	1799.40	752.50	150.89	342	292.00	120.25	80.90	635.97
contig_25_np1212:1897501..1900000	contig_25_np1212	1897501	1900000	+	2500	46	39.50	11	2804	2083.50	3955	2114.50	2066.50	126.50
contig_25_np1212:1900001..1902500	contig_25_np1212	1900001	1902500	+	2500	803.50	214	316	33758.75	65820	58435.17	36739	34074.50	4038
contig_25_np1212:1902501..1905000	contig_25_np1212	1902501	1905000	+	2500	524.50	145.50	322	28825	52692.50	48747.50	32379	30552	3377.50
contig_25_np1212:1905001..1907500	contig_25_np1212	1905001	1907500	+	2500	9907.50	5685.50	10603	1006.75	1450	1563.33	716	736	1677
contig_25_np1212:1907501..1910000	contig_25_np1212	1907501	1910000	+	2500	38865.50	9784.50	14503	30148.50	26511	17363	27247.50	21412	20337
contig_25_np1212:1910001..1912500	contig_25_np1212	1910001	1912500	+	2500	5922	3585	2034	2244.50	892	2201.50	2978.50	1508.50	3211
contig_25_np1212:1912501..1915000	contig_25_np1212	1912501	1915000	+	2500	2443.50	1189.50	1020	4324.00	1281.50	1810.50	2025.50	3200.50	1906
contig_25_np1212:1915001..1917500	contig_25_np1212	1915001	1917500	+	2500	4652	2370	2259.50	9450.00	1072	2049.50	3095	4690	2209
contig_25_np1212:1917501..1920000	contig_25_np1212	1917501	1920000	+	2500	37.50	48.50	31.50	106.75	41.50	61.70	66	25.50	97.50
contig_25_np1212:1920001..1922500	contig_25_np1212	1920001	1922500	+	2500	717.50	349	481	305	48	218	268	221	402.50
contig_25_np1212:1922501..1925000	contig_25_np1212	1922501	1925000	+	2500	7160	1939.50	3528	8544.50	5826.50	5863.50	8235	8110	4888.50
contig_25_np1212:1925001..1927500	contig_25_np1212	1925001	1927500	+	2500	5944.50	1235.50	2741	7452.50	9941.50	5733	7928	7578	3978.50
contig_25_np1212:1927501..1930000	contig_25_np1212	1927501	1930000	+	2500	189.50	629.50	250	618	164	592	629.50	223.50	1190
contig_25_np1212:1930001..1932500	contig_25_np1212	1930001	1932500	+	2500	482.50	3035.50	3248.50	1326.50	701.50	1365	1005.50	1309	2869
contig_25_np1212:1932501..1935000	contig_25_np1212	1932501	1935000	+	2500	1249	7521	8424.50	2782.50	4519.50	2835.50	2476	2950.50	6284
contig_25_np1212:1935001..1937500	contig_25_np1212	1935001	1937500	+	2500	3	2.50	11	66.00	34	28.50	82.50	19	16
contig_25_np1212:1937501..1940000	contig_25_np1212	1937501	1940000	+	2500	348	50.50	144	19	12	16	6	8	43
contig_25_np1212:1940001..1942500	contig_25_np1212	1940001	1942500	+	2500	61	839.50	213.50	826	238	1294	681.50	816	3252.50
contig_25_np1212:1942501..1945000	contig_25_np1212	1942501	1945000	+	2500	882	3126.50	1278	2920.50	2352.50	3058.50	2407	1598.50	6643
contig_25_np1212:1945001..1947500	contig_25_np1212	1945001	1947500	+	2500	1658	5111	2509.50	3457.50	2874.50	3636	2870.50	1289.50	6562.50
contig_25_np1212:1947501..1950000	contig_25_np1212	1947501	1950000	+	2500	12	490.50	162	80	319	761.50	363	388	1133.50
contig_25_np1212:1950001..1952500	contig_25_np1212	1950001	1952500	+	2500	432.50	1808	669.50	549.50	1586.00	2300.42	1337	1090	2873.17
contig_25_np1212:1952501..1955000	contig_25_np1212	1952501	1955000	+	2500	113.25	347.50	94.50	89.50	158	79.50	72	45.33	251.50
contig_25_np1212:1955001..1957500	contig_25_np1212	1955001	1957500	+	2500	16.75	9	10	89.50	71	451	114	193.83	140.50
contig_25_np1212:1957501..1960000	contig_25_np1212	1957501	1960000	+	2500	242.50	924.50	1114	4615.00	37314.00	45981.75	23469.00	20258.83	18427.56
contig_25_np1212:1960001..1962500	contig_25_np1212	1960001	1962500	+	2500	836.50	583.50	694.50	1623	4692.50	8445.50	4429	4533.25	4125.50
contig_25_np1212:1962501..1965000	contig_25_np1212	1962501	1965000	+	2500	16339.50	5999	5596.50	18889.50	26770	12133.00	16804.50	16201.75	8132
contig_25_np1212:1965001..1967500	contig_25_np1212	1965001	1967500	+	2500	545	1569	496.00	873	621.50	649.50	713.50	166	1783.00
contig_25_np1212:1967501..1970000	contig_25_np1212	1967501	1970000	+	2500	8546.50	3619.50	1446.50	8738.50	3942	3396	6504.50	6945	5304.50
contig_25_np1212:1970001..1972500	contig_25_np1212	1970001	1972500	+	2500	9895.50	3016.50	3333.50	8089.50	8528	3837	8546.50	5357	4235.50
contig_25_np1212:1972501..1975000	contig_25_np1212	1972501	1975000	+	2500	219	494	165	502.50	353.50	364.40	321	162	765.50
contig_25_np1212:1975001..1977500	contig_25_np1212	1975001	1977500	+	2500	258	447.90	156.17	543.02	257.15	284.70	359.10	108.61	607.43
contig_25_np1212:1977501..1980000	contig_25_np1212	1977501	1980000	+	2500	11	9	3	20	21.50	23.50	16.50	11	66.50
contig_25_np1212:1980001..1982500	contig_25_np1212	1980001	1982500	+	2500	140	135.50	49	222	153.50	249.50	179.50	129	500
contig_25_np1212:1982501..1985000	contig_25_np1212	1982501	1985000	+	2500	200	119.50	139	911.50	251	382.50	436.50	394	356.50
contig_25_np1212:1985001..1987500	contig_25_np1212	1985001	1987500	+	2500	897	232.50	899	530.50	288	143	188	81.50	313
contig_25_np1212:1987501..1990000	contig_25_np1212	1987501	1990000	+	2500	1473	623.50	694	6054.50	1974	3041.50	3079	1695	2261.75
contig_25_np1212:1990001..1992500	contig_25_np1212	1990001	1992500	+	2500	67	6	24.40	44	28.25	21.50	20	25.50	27.50
contig_25_np1212:1992501..1995000	contig_25_np1212	1992501	1995000	+	2500	346.50	1975.50	308.50	4880.33	16760.00	12172.59	9170.01	3503.57	11031.61
contig_25_np1212:1995001..1997500	contig_25_np1212	1995001	1997500	+	2500	235.50	1099	206.50	2545.50	8705.75	5353.22	4733.90	1675.50	5856.45
contig_25_np1212:1997501..2000000	contig_25_np1212	1997501	2000000	+	2500	30.50	12.50	46	3.98	3	1	3.75	0	44
contig_25_np1212:2000001..2002500	contig_25_np1212	2000001	2002500	+	2500	2806.50	44514	20910	803.98	404	1148	2332	338	29087
contig_25_np1212:2002501..2005000	contig_25_np1212	2002501	2005000	+	2500	3066.50	755	2041	977.50	254	440	516	376	915
contig_25_np1212:2005001..2007500	contig_25_np1212	2005001	2007500	+	2500	23	12	30	52	14	56	136.50	132.50	759.50
contig_25_np1212:2007501..2010000	contig_25_np1212	2007501	2010000	+	2500	1067	361	466	50	34	48.50	86.50	74.50	284
contig_25_np1212:2010001..2012500	contig_25_np1212	2010001	2012500	+	2500	243.50	56	287.50	62	10	244.50	560.50	242	1528.50
contig_25_np1212:2012501..2015000	contig_25_np1212	2012501	2015000	+	2500	160.92	530.20	178.45	53.90	48.10	75.56	63.51	31.19	408.94
contig_25_np1212:2015001..2017500	contig_25_np1212	2015001	2017500	+	2500	88.50	146.50	73.83	37.50	7	11	18	15	138
contig_25_np1212:2017501..2020000	contig_25_np1212	2017501	2020000	+	2500	35.40	15.90	24.77	2.44	2.40	13.05	5.07	1.63	30.90
contig_25_np1212:2020001..2022500	contig_25_np1212	2020001	2022500	+	2500	49	11	50	2	8.50	4	2	8	32.50
contig_25_np1212:2022501..2025000	contig_25_np1212	2022501	2025000	+	2500	42	6	24	4	15	8	8	4	8
contig_25_np1212:2025001..2027500	contig_25_np1212	2025001	2027500	+	2500	16	5.50	5.50	5	8	30	0	15.50	58
contig_25_np1212:2027501..2030000	contig_25_np1212	2027501	2030000	+	2500	78	116.50	97.50	101.50	72	59.50	95	36.50	173.50
contig_25_np1212:2030001..2032500	contig_25_np1212	2030001	2032500	+	2500	207	14	456	225.50	38	32.50	117	68	119.50
contig_25_np1212:2032501..2035000	contig_25_np1212	2032501	2035000	+	2500	58	2	10	10	18	20	22	18	66
contig_25_np1212:2035001..2037500	contig_25_np1212	2035001	2037500	+	2500	82	6	90	50	16	20	68	28	66
contig_25_np1212:2037501..2040000	contig_25_np1212	2037501	2040000	+	2500	256	50	179	400	146	126	92	70	296
contig_25_np1212:2040001..2042500	contig_25_np1212	2040001	2042500	+	2500	4	2	2	6	4	2	2	0.17	0
contig_25_np1212:2042501..2045000	contig_25_np1212	2042501	2045000	+	2500	8709.30	840.40	1962.40	119904.08	5536	7112.50	33628.00	49468.92	4162.50
contig_25_np1212:2045001..2047500	contig_25_np1212	2045001	2047500	+	2500	248.50	236.50	265	18812.92	0	1121.50	5538.00	8360.42	541.50
contig_25_np1212:2047501..2050000	contig_25_np1212	2047501	2050000	+	2500	1170.98	3690.33	1754.00	543.62	188.58	589.64	366.45	331.92	1050.12
contig_25_np1212:2050001..2052500	contig_25_np1212	2050001	2052500	+	2500	475	530.25	371.50	435	116.50	464	432.50	482.50	283.50
contig_25_np1212:2052501..2055000	contig_25_np1212	2052501	2055000	+	2500	6	10.25	28	156.25	48	50	54	50.90	40
contig_25_np1212:2055001..2057500	contig_25_np1212	2055001	2057500	+	2500	0	13	18	348	75	86.50	102.50	107.50	50
contig_25_np1212:2057501..2060000	contig_25_np1212	2057501	2060000	+	2500	32	23	8	1456	243	265.50	472.50	410	174
contig_25_np1212:2060001..2062500	contig_25_np1212	2060001	2062500	+	2500	7	2	2	220.50	2	130.50	1042.50	519.50	793
contig_25_np1212:2062501..2065000	contig_25_np1212	2062501	2065000	+	2500	7	0	4	293.50	0	261.50	1700	740.50	1079
contig_25_np1212:2065001..2067500	contig_25_np1212	2065001	2067500	+	2500	3022	2629.50	1331	13440	7287.50	7802	12864	2018.50	5134.50
contig_25_np1212:2067501..2070000	contig_25_np1212	2067501	2070000	+	2500	3078.50	2531.25	1505	11314	4622	7447	11831.00	2490	5240.50
contig_25_np1212:2070001..2072500	contig_25_np1212	2070001	2072500	+	2500	175.50	387.25	142	458	415	534	556	305	921
contig_25_np1212:2072501..2075000	contig_25_np1212	2072501	2075000	+	2500	4170	237.50	862.50	30471	99711.50	14212.50	12418	10503.50	1604.50
contig_25_np1212:2075001..2077500	contig_25_np1212	2075001	2077500	+	2500	3033.50	139.50	644	27040.75	59961.50	11331.50	9595	8726	1219.50
contig_25_np1212:2077501..2080000	contig_25_np1212	2077501	2080000	+	2500	7723.00	6013.50	6774.50	2569.75	1159.25	1210.50	2980	1427	5262
contig_25_np1212:2080001..2082500	contig_25_np1212	2080001	2082500	+	2500	438.17	649.47	411.00	409.05	195.99	281.19	311.04	405.71	504.54
contig_25_np1212:2082501..2085000	contig_25_np1212	2082501	2085000	+	2500	324	433.50	183.50	174.50	25	171	135	233	571
contig_25_np1212:2085001..2087500	contig_25_np1212	2085001	2087500	+	2500	526	3883.50	2050.25	349.50	153	179	187.50	116.50	4890.50
contig_25_np1212:2087501..2090000	contig_25_np1212	2087501	2090000	+	2500	75.50	4460.50	1109.25	449	248.50	258.50	247.50	162	5226.50
contig_25_np1212:2090001..2092500	contig_25_np1212	2090001	2092500	+	2500	257	1900	681.50	236	146.50	100	162.50	62	2251
contig_25_np1212:2092501..2095000	contig_25_np1212	2092501	2095000	+	2500	455	92.50	252.50	5279.25	2985.50	1413	3240	632.50	1302.50
contig_25_np1212:2095001..2097500	contig_25_np1212	2095001	2097500	+	2500	508.50	102.50	279.50	7172.25	2396	2277.50	4936	809	1863.50
contig_25_np1212:2097501..2100000	contig_25_np1212	2097501	2100000	+	2500	94.50	137.50	64.50	2648.50	807	1447	1638	972	863.50
contig_25_np1212:2100001..2102500	contig_25_np1212	2100001	2102500	+	2500	1017	3951.50	1400.50	7352	9305.50	8448.50	6889.50	3989.50	11174.50
contig_25_np1212:2102501..2105000	contig_25_np1212	2102501	2105000	+	2500	8760	1994.33	2430.50	24324	9471	6920	21460.00	3721.00	6302
contig_25_np1212:2105001..2107500	contig_25_np1212	2105001	2107500	+	2500	527	196.25	320.75	915.33	146	491.00	685.00	600.50	521
contig_25_np1212:2107501..2110000	contig_25_np1212	2107501	2110000	+	2500	16116.83	7543.75	8371.75	9750.70	4234.93	11266.00	19406.31	7490.39	10415.00
contig_25_np1212:2110001..2112500	contig_25_np1212	2110001	2112500	+	2500	82.33	48	68.50	1787.50	103.63	397.33	1114.25	867	2554.50
contig_25_np1212:2112501..2115000	contig_25_np1212	2112501	2115000	+	2500	30199.33	6445	36680.75	160184.30	95293.43	87545.67	128708.43	62723.33	58500.25
